title,NER,Protein,Protein Group
Chicken Curry,"[""chicken breasts"", ""flour"", ""curry powder"", ""oil"", ""sugar"", ""chicken bouillon cubes"", ""water"", ""apricots"", ""onion"", ""mushrooms"", ""soy sauce"", ""lemon juice""]",Chicken,Meat
Chicken Curry(Recipe From India)  ,"[""onion"", ""celery"", ""butter"", ""flour"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""salt"", ""pepper"", ""curry powder"", ""chicken"", ""rice""]",Chicken,Meat
Pakistani Chicken Curry,"[""chicken breasts"", ""garlic"", ""butter"", ""ground coriander"", ""ground cumin"", ""salt"", ""onions"", ""ginger root"", ""tomato paste"", ""turmeric"", ""yogurt""]",Chicken,Meat
Indian Chicken Curry,"[""butter"", ""onion"", ""celery"", ""tart apples"", ""curry powder"", ""flour"", ""chicken broth"", ""cream of coconut"", ""chicken""]",Chicken,Meat
Curry Chicken With Pineapple In Coconut Milk,"[""boneless chicken"", ""vegetable"", ""fish sauce"", ""bamboo shoots"", ""curry paste"", ""coconut milk"", ""pineapple"", ""basil"", ""carrots"", ""baby corn""]",Chicken,Meat
Curry Chicken Divan,"[""chicken breasts"", ""carrot"", ""onion"", ""salt"", ""frozen broccoli"", ""cream of chicken soup"", ""mayonnaise"", ""milk"", ""Cheddar cheese"", ""lemon juice"", ""curry powder"", ""butter"", ""bread crumbs""]",Chicken,Meat
Lamb Curry,"[""stalks celery"", ""onion"", ""apple"", ""butter"", ""flour"", ""curry powder"", ""Worcestershire sauce"", ""garlic salt"", ""chicken"", ""additional bouillon"", ""coconut"", ""rice""]",Chicken,Meat
Easy Chicken Curry,"[""chicken breast"", ""Campbell's cream"", ""Campbell's cream"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""butter"", ""black pepper"", ""broccoli""]",Chicken,Meat
Indian Chicken Curry,"[""butter"", ""onion"", ""garlic"", ""flour"", ""brown sugar"", ""curry powder"", ""salt"", ""ginger"", ""pepper"", ""tomato sauce"", ""water"", ""chicken bouillon cubes"", ""chicken breasts""]",Chicken,Meat
Cold Chicken Curry,"[""salt"", ""white rice"", ""chicken"", ""cauliflower"", ""mayonnaise"", ""curry powder"", ""milk"", ""bell pepper"", ""red onion"", ""celery""]",Chicken,Meat
