title,ingredients,directions,NER,Country,Distance,garlic,salt,coconut milk,onion,fish sauce,water,red curry,ginger,vegetable oil,tomatoes,curry powder,chicken,lime,oil,sugar,curry,cilantro,brown sugar,turmeric,fresh ginger,onions,lime juice,Salt,fresh cilantro,basil,garam masala,ground coriander,cumin,ground cumin,Curry,soy sauce,shallots,rice,shrimp,olive oil,potatoes,red bell pepper,green curry,ground turmeric,chicken breasts,chicken broth,cinnamon,chili powder,carrots,canola oil,peanut oil,cumin seeds,butter,peanuts,red pepper,light coconut milk,green beans,Onion,coriander,cayenne pepper,turmeric powder,carrot,flour,Water,paprika,coriander seeds,Garlic,cloves,Ginger,jasmine rice,fresh basil,lemon juice,chicken stock,coriander powder,green onions,green chilies,Chicken,Coconut Milk,Turmeric,tomato paste,pepper,milk,kosher salt,zucchini,red onion,gingerroot,unsweetened coconut milk,Cumin,bamboo shoots,cornstarch,black pepper,coconut,clove garlic,fresh coriander,tomato,bay leaves,yellow onion,coconut cream,stalk lemongrass,ghee,palm sugar,Cilantro,mushrooms,beef,clove Garlic,Sugar,shallot,scallions,Onions,lime leaves,red chili powder,cumin powder,egg,red chilies,ground ginger,mustard seeds,cooking oil,green bell pepper,Kosher salt,ground black pepper,peanut butter,Fish Sauce,yogurt,eggs,cauliflower,frozen peas,pineapple,basmati rice,Garam masala,Vegetable oil,coriander seed,vegetable stock,broccoli,lemon grass,fenugreek seeds,ground cinnamon,plain yogurt,eggplant,Red Curry,chicken breast,vegetable broth,sesame oil,bay leaf,coconut oil,tomato puree,Tomatoes,potato,Garam Masala,stalks lemongrass,mint,chicken thighs,Olive Oil,galangal,lime zest,celery,black peppercorns,Oil,Carrot,skinless,cardamom pods,peas,chickpeas,shrimp paste,light brown sugar,Basil,ground beef,lamb,ginger paste,black mustard seeds,eggplants,white rice,tamarind paste,fennel seeds,green onion,coriander leaves,lemon,Cinnamon,honey,Potatoes,snow peas,Milk,Butter,cucumber,fresh coriander leaves,baby corn,rice noodles,mussels,ginger-garlic,pumpkin,unsalted butter,red onions,curry paste,chilies,fresh lemongrass,raisins,white sugar,white onion,cashews,sweet potato,Tomato,shiitake mushrooms,tomato sauce,nutmeg,vinegar,red chili pepper
Chicken Curry(Recipe From India)  ,"[""1/2 c. chopped onion"", ""1/2 c. chopped celery"", ""1/4 c. butter"", ""1/3 c. flour"", ""2 c. chicken broth"", ""1 c. tomato juice"", ""1/2 tsp. Worcestershire sauce"", ""salt"", ""pepper"", ""4 tsp. curry powder"", ""4 c. diced chicken"", ""5 c. hot, cooked rice""]","[""Brown onion and celery in butter."", ""Add flour and blend."", ""Add chicken broth; cook until thick, stirring constantly."", ""Add tomato juice, Worcestershire sauce, seasonings and chicken."", ""Heat thoroughly."", ""Serve over the cooked rice."", ""Serves 8.""]","[""onion"", ""celery"", ""butter"", ""flour"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""salt"", ""pepper"", ""curry powder"", ""chicken"", ""rice""]",India,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Chicken Curry,"[""1/3 c. butter"", ""1 large onion, chopped"", ""1 c. chopped celery"", ""2 tart apples, chopped and peeled"", ""1 Tbsp. curry powder"", ""6 Tbsp. flour"", ""1 c. chicken broth"", ""1/2 c. cream of coconut"", ""1 pt. half and half"", ""3 c. diced, cooked chicken""]","[""In a large saucepan, melt butter and saute onion, celery and apples for 5 minutes."", ""Stir in curry and flour."", ""Gradually stir in chicken broth, cream of coconut and half and half."", ""Stir over moderate heat until sauce bubbles and thickens."", ""Stir in chicken and season to taste with salt and pepper."", ""Serve over rice.""]","[""butter"", ""onion"", ""celery"", ""tart apples"", ""curry powder"", ""flour"", ""chicken broth"", ""cream of coconut"", ""chicken""]",India,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy Indian Curry,"[""1 lb. medium shrimp, cleaned and deveined"", ""3 Tbsp. vegetable oil"", ""1 large onion, cut"", ""2 large tomatoes, cut"", ""1 green chili"", ""juice of 1 lemon"", ""1 tsp. sugar"", ""1 Tbsp. paprika"", ""1 tsp. curry powder"", ""salt to taste"", ""3 cloves garlic"", ""1/2 pkg. cream of coconut or 1/2 can coconut milk"", ""1 c. water"", ""white rice""]","[""Boil shrimp in 2 cups of water with a little salt for about 5 minutes."", ""Drain and keep aside."", ""Using a blender, combine onion, tomatoes, green chili, lemon juice, sugar, paprika, curry powder, salt and garlic into a paste."", ""Heat oil in large pot and saute ground paste and the coconut over low heat, stirring constantly until you get the aroma of all the spices and the oil floats to the top (about 15 minutes)."", ""Add 1 cup water and bring to a boil. Lower heat and add shrimp."", ""Simmer gently until liquid is reduced a little."", ""Serve with boiled white rice."", ""Serves 6.""]","[""shrimp"", ""vegetable oil"", ""onion"", ""tomatoes"", ""green chili"", ""lemon"", ""sugar"", ""paprika"", ""curry powder"", ""salt"", ""garlic"", ""cream of coconut"", ""water"", ""white rice""]",India,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Chicken Curry,"[""2 Tbsp. butter or margarine"", ""1 1/4 c. onion, chopped"", ""1 small garlic clove, minced"", ""2 Tbsp. flour"", ""2 tsp. brown sugar"", ""1 tsp. curry powder"", ""1 tsp. salt"", ""1/4 tsp. ginger"", ""1/2 tsp. pepper"", ""8 oz. can tomato sauce"", ""1 1/2 c. water"", ""2 chicken bouillon cubes"", ""3 c. cooked chicken breasts, skinned, boned and shredded into large chunks""]","[""Melt butter; add onion and garlic and cook until tender."", ""Add remaining ingredients (except cooked chicken)."", ""Cover and simmer 30 minutes."", ""Add chicken; cover and heat."", ""Serve over hot rice.""]","[""butter"", ""onion"", ""garlic"", ""flour"", ""brown sugar"", ""curry powder"", ""salt"", ""ginger"", ""pepper"", ""tomato sauce"", ""water"", ""chicken bouillon cubes"", ""chicken breasts""]",India,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
India Chicken Curry,"[""1/2 c. onion, chopped"", ""1/2 c. celery, chopped"", ""4 Tbsp. butter"", ""1/2 c. flour"", ""2 c. chicken stock"", ""1 c. tomato juice"", ""1/2 tsp. Worcestershire sauce"", ""1 tsp. curry"", ""4 c. diced chicken or turkey"", ""4 c. hot steamed rice"", ""salt and pepper to taste""]","[""Simmer onion and celery in butter."", ""Add flour; mix thoroughly. Add chicken stock and cook until smooth."", ""Add tomato juice, seasonings and chicken."", ""Arrange rice in a ring and pour hot curried chicken in the center.""]","[""onion"", ""celery"", ""butter"", ""flour"", ""chicken stock"", ""tomato juice"", ""Worcestershire sauce"", ""curry"", ""chicken"", ""rice"", ""salt""]",India,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Chicken Curry,"[""2 red apples, peeled and sliced"", ""1 Tbsp. lemon juice"", ""1 1/2 lb. skinned, boned chicken breasts"", ""1/4 c. chopped celery"", ""1/2 c. chopped onion"", ""1/2 c. green bell peppers, cut in strips"", ""1 clove garlic, minced"", ""1 1/2 Tbsp. plain flour"", ""3 tsp. curry powder or to taste"", ""1/4 tsp. salt and pepper (each)"", ""1/2 tsp. ginger"", ""1 c. chicken broth"", ""1 can stewed tomatoes"", ""1/4 c. raisins (optional)"", ""1 c. water (add more, if needed)"", ""3 c. cooked rice (served on)""]","[""In a small bowl, combine sliced apples and lemon juice; toss. Set aside."", ""Slice chicken; set aside."", ""Combine flour and chicken broth; stir until mixed."", ""Add all ingredients into skillet."", ""Cook on low for 30 minutes or until everything is cooked down; add extra water, if necessary."", ""Serve over rice.""]","[""red apples"", ""lemon juice"", ""chicken breasts"", ""celery"", ""onion"", ""green bell peppers"", ""clove garlic"", ""flour"", ""curry powder"", ""salt"", ""ginger"", ""chicken broth"", ""tomatoes"", ""raisins"", ""water"", ""rice""]",India,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Indian Shrimp Curry,"[""1/2 c. minced onion"", ""5 Tbsp. butter"", ""6 Tbsp. flour"", ""2 1/2 tsp. curry powder (imported)"", ""1 1/4 tsp. salt"", ""1 1/2 tsp. granulated sugar"", ""1/4 tsp. powdered ginger"", ""1 chicken bouillon cube"", ""1 c. boiling water"", ""2 c. milk"", ""2 1/2 lb. cooked shrimp or 4 c. cooked, shelled shrimp"", ""1 tsp. lemon juice"", ""6 c. boiled white rice""]","[""Saute onion in the butter in top of double boiler over direct heat until tender. Stir in flour, curry powder, salt, sugar and ginger. Add bouillon cube, dissolved in boiling water and milk and cook over boiling water, stirring constantly, until thickened. Add shrimp from which black vein has been removed and the lemon juice. Heat well and serve with rice. Serves 6 generously.""]","[""onion"", ""butter"", ""flour"", ""curry powder"", ""salt"", ""sugar"", ""powdered ginger"", ""chicken"", ""boiling water"", ""milk"", ""shrimp"", ""lemon juice"", ""white rice""]",India,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp Curry (Indian Style),"[""1 lb. large Shrimp"", ""1 large, Onion, chopped and 1 Small Onion, chopped"", ""1 tsp. Garlic, paste"", ""1 tsp. Ground Ginger"", ""1 tbsp. Sour Cream"", ""2 tsp. Sugar"", ""1\\2 C. Coconut, grated"", ""1\\2 C. Milk"", ""1 Stick Cinnamon"", ""3 Cloves"", ""3 Green Cardamom"", ""2 Bay leaves"", ""1 Stick Butter"", ""Salt according to taste""]","[""Arrange Chicken Wings in baking dish, As many as you want to eat. Cover with a mixture of equal parts of brown and white sugar. Sprinkle on Soy Sauce lightly. Bake at 350\u00b0 for about an hour.""]","[""Shrimp"", ""Onion"", ""Garlic"", ""Ground Ginger"", ""Sour Cream"", ""Sugar"", ""Coconut"", ""Milk"", ""Cinnamon"", ""Green Cardamom"", ""Bay leaves"", ""Butter"", ""Salt according""]",India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahi Murgh - Chicken And Yogurt Curry(Origin: India And Pakistan)  ,"[""1 kg. (2 lb.) roasting chicken"", ""1 medium onion, roughly chopped"", ""3 cloves garlic, peeled"", ""1 tsp. finely chopped fresh ginger"", ""1/2 c. fresh coriander or mint leaves"", ""1 1/2 Tbsp. ghee or oil"", ""1 tsp. ground turmeric"", ""1 1/2 tsp. garam masala"", ""1 1/2 tsp. salt"", ""1/2 tsp. chili powder (optional)"", ""1/2 c. yogurt"", ""2 ripe tomatoes, diced"", ""extra chopped mint or coriander leaves (to garnish)""]","[""Cut chicken into serving pieces or use chicken pieces of one kind: drumsticks, thighs or half breasts."", ""Put into container of electric blender the onion, garlic, ginger, fresh coriander or mint."", ""Blend to a smooth puree.""]","[""chicken"", ""onion"", ""garlic"", ""fresh ginger"", ""fresh coriander"", ""ghee"", ""ground turmeric"", ""garam masala"", ""salt"", ""chili powder"", ""yogurt"", ""tomatoes"", ""mint""]",India,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India Curry,"[""2 lb. ground beef or mixed beef and lamb"", ""2 medium onions"", ""1 Tbsp. curry powder"", ""1 tsp. chili powder"", ""1 (No. 2) can tomatoes"", ""1 small can string beans"", ""diced potatoes"", ""2 c. rice"", ""1 bag Fritos""]","[""Fry onions, chili and curry powder in enough fat to brown."", ""Add salted meat and press flat in frying pan; brown on both sides. Chop into small pieces and add to tomatoes, beans and diced potatoes."", ""Cook for 10 minutes."", ""Bring salted rice to boil and boil for 15 minutes."", ""Serve on plates with sauce on top."", ""Serves 6. Serve with Fritos.""]","[""ground beef"", ""onions"", ""curry powder"", ""chili powder"", ""tomatoes"", ""string beans"", ""potatoes"", ""rice"", ""Fritos""]",India,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
